Color classification,R,G,B,Colors
color14,255.35905,255.41197,255.05649,White
color7,234.9136,233.3673,226.90475,White
color12,231.56097,212.47873,72.4119,Yellow
color6,227.08061,212.6576,158.18204,Brown
color13,210.06499,208.6925,203.0276,Gray
color11,198.55463,177.54268,128.84184,Brown
color9,194.12,169.63048,75.66813,Brown
color10,185.24529,119.29402,65.36703,Brown
color2,183.59235,183.10382,178.07419,Gray
color15,165.14334,145.22533,107.37488,Brown
color23,157.7509,156.8827,151.3649,Gray
color19,156.42656,76.119774,47.944847,Red
color4,138.6078,116.6232,82.14643,Brown
color22,133.12405,154.94077,68.34903,Green
color8,130.04716,129.758,125.74616,Gray
color1,109.871155,99.0019,65.74506,Brown
color5,106.632164,143.37898,180.11423,Blue
color18,104.72427,105.36175,102.697174,Gray
color16,92.02474,70.82928,49.73397,Brown
color3,79.55796,81.563545,80.42594,Gray
color20,67.62408,92.298195,135.82953,Blue
color24,61.520298,60.028263,56.805676,Gray
color21,43.768784,41.877842,38.395195,Black
color17,22.135675,21.763859,19.105951,Black